"id";"nome";"endereco_id"
192;"ESCOLA EVOLUCAO  UNIDADE III
                    ";199
193;"ESCOLA KIDSHEAVEN
                    ";200
194;"ESCOLA LUMINOVA  UNIDADE BOM RETIRO
                    ";105
195;"ESCOLA PRESBITERIANA AEJA MACKENZIE
                    ";201
196;"ESCOLA SENAI DR CELSO CHARURI  UNIDADE BOM RETIRO
                    ";202
197;"ESCOLA TECNICA FAT
                    ";203
198;"ESCOLA TEMPO  EDUCACAO INFANTIL E ENSINO FUNDAMENTAL
                    ";204
199;"ESPACO CRESCER BERCARIO E RECREACAO
                    ";108
200;"ESPACO DE BITITA EMEF
                    ";107
201;"ESPACO PENSAR  ESCOLA DE ENSINO FUNDAMENTAL  ANOS INICIAIS
                    ";205
202;"ESTRELA DO AMANHA ESCOLA
                    ";206
203;"ETEC ALBERT EINSTEIN
                    ";207
204;"ETEC CARLOS DE CAMPOS
                    ";208
205;"ETEC DE ARTES
                    ";209
206;"ETEC DE SAO PAULO
                    ";210
207;"ETEC MANDAQUI
                    ";211
208;"ETEC PARQUE DA JUVENTUDE
                    ";209
209;"ETEC PROFESSOR HORACIO AUGUSTO DA SILVEIRA
                    ";212
210;"ETEC SANTA IFIGENIA
                    ";213
211;"ETEC SEBRAE
                    ";214
212;"EVOLUCAO UNIDADE I ESCOLA
                    ";82
213;"EVOLUCAO UNIDADE II ESCOLA
                    ";82
214;"EXPEDICIONARIO BRASILEIRO
                    ";215
215;"FAAP COLEGIO EM
                    ";216
216;"FACES EDUCACAO BILINGUE
                    ";217
217;"FARIA LIMA BRIGADEIRO
                    ";218
218;"FIDELINO DE FIGUEIREDO PROFESSOR
                    ";97
219;"FLORESTA AZUL COLEGIO
                    ";219
220;"FLORESTA ENCANTADA ESCOLA EDUCACAO INFANTIL
                    ";152
